drone,generation,startDate,endDate,latitude,longitude,imagePath
812,5,2018-11-30T14:19:12.087Z,2018-11-30T14:32:12.087Z,85.29814,-106.16167,https://s3.amazonaws.com/bucket/path/2c0ac25f-dbb7-21a2-4664-875fedda72f6.jpg
395,2,2018-11-22T14:19:12.087Z,2018-11-22T14:30:12.087Z,-6.41381,-0.55978,https://s3.amazonaws.com/bucket/path/4863b122-07ad-88b2-2f9b-14d1f722e79b.jpg
561,3,2018-11-30T14:19:12.087Z,2018-11-30T14:38:12.087Z,-57.52634,145.15794,https://s3.amazonaws.com/bucket/path/0c91e8f0-efbc-ee85-d926-65e08262ce61.jpg
482,1,2018-11-24T14:19:12.087Z,2018-11-24T14:20:12.087Z,0.31671,-132.41646,https://s3.amazonaws.com/bucket/path/f5372b3d-51a1-1759-13fe-8d996e9cadc7.jpg
910,8,2018-11-25T14:19:12.087Z,2018-11-25T14:49:12.087Z,63.90239,-163.03978,https://s3.amazonaws.com/bucket/path/efd6dfe6-a49e-0303-9e27-40ff58c4dbe0.jpg
278,0,2018-11-30T14:19:12.087Z,2018-11-30T14:44:12.087Z,-60.08093,148.98992,https://s3.amazonaws.com/bucket/path/33f31321-8d1d-7fec-9408-2b409b72eac1.jpg
741,5,2018-11-24T14:19:12.087Z,2018-11-24T14:48:12.087Z,-67.04421,92.37377,https://s3.amazonaws.com/bucket/path/ff55c72f-207c-257f-9152-5308a58878a7.jpg
738,8,2018-11-23T14:19:12.088Z,2018-11-23T14:38:12.088Z,32.70501,109.80824,https://s3.amazonaws.com/bucket/path/5d7a617c-b917-4d65-ba11-86fce2d4edc6.jpg
500,5,2018-11-27T14:19:12.088Z,2018-11-27T14:33:12.088Z,18.29007,104.85176,https://s3.amazonaws.com/bucket/path/54204c25-b03b-6309-7d26-4afc2690f273.jpg
138,5,2018-11-30T14:19:12.088Z,2018-11-30T14:38:12.088Z,-27.21791,-173.48611,https://s3.amazonaws.com/bucket/path/e9d0b2e1-cd87-0daa-cc2c-b73a601b3f2c.jpg
953,8,2018-11-28T14:19:12.088Z,2018-11-28T14:34:12.088Z,80.46544,170.03212,https://s3.amazonaws.com/bucket/path/df81308c-d5b8-3293-37cd-e45a7685883e.jpg
395,1,2018-11-23T14:19:12.088Z,2018-11-23T14:24:12.088Z,62.59542,98.51905,https://s3.amazonaws.com/bucket/path/46d1bca7-bef1-ee2c-a1df-9895603c6508.jpg
211,0,2018-11-25T14:19:12.088Z,2018-11-25T14:20:12.088Z,-59.51009,-132.28888,https://s3.amazonaws.com/bucket/path/bc82cb74-620b-ce7d-b5bf-18c52c9d34d1.jpg
577,0,2018-11-28T14:19:12.088Z,2018-11-28T14:21:12.088Z,35.10442,31.59729,https://s3.amazonaws.com/bucket/path/a06f9226-c70e-0cc9-9a77-260d92b290a9.jpg
802,0,2018-11-29T14:19:12.088Z,2018-11-29T14:40:12.088Z,-79.02897,167.61539,https://s3.amazonaws.com/bucket/path/7e6d6bc7-53b3-b5cc-31ff-9403046cc080.jpg
78,0,2018-11-22T14:19:12.088Z,2018-11-22T14:35:12.088Z,17.90654,-168.6457,https://s3.amazonaws.com/bucket/path/0b600c9a-5925-fd35-c2f4-25a1e1e13513.jpg
4,1,2018-11-24T14:19:12.088Z,2018-11-24T14:32:12.088Z,-70.35169,58.86154,https://s3.amazonaws.com/bucket/path/5c9827e7-b223-850b-c468-af0b95fc91a6.jpg
326,8,2018-11-22T14:19:12.088Z,2018-11-22T14:31:12.088Z,60.92393,36.30732,https://s3.amazonaws.com/bucket/path/9b18377d-f3d7-80e3-2af5-055aeaeb8542.jpg
803,6,2018-11-25T14:19:12.088Z,2018-11-25T14:47:12.088Z,86.14263,-171.50202,https://s3.amazonaws.com/bucket/path/955ea99c-bd02-3824-27b4-3b87c73ff3be.jpg
225,8,2018-11-23T14:19:12.088Z,2018-11-23T14:32:12.088Z,-23.14382,-58.7112,https://s3.amazonaws.com/bucket/path/7fd57d96-4396-aed2-f887-f102cf431e0e.jpg
314,2,2018-11-30T14:19:12.088Z,2018-11-30T14:36:12.088Z,44.13083,37.60105,https://s3.amazonaws.com/bucket/path/ad7db708-509f-3505-aa14-c95d2e4ffa04.jpg
981,5,2018-11-24T14:19:12.088Z,2018-11-24T14:39:12.088Z,-66.27442,-63.68431,https://s3.amazonaws.com/bucket/path/b5d4a5a0-738d-415f-9e68-4f07562fb699.jpg
984,0,2018-11-30T14:19:12.088Z,2018-11-30T14:29:12.088Z,-54.83613,40.39482,https://s3.amazonaws.com/bucket/path/36252dac-c545-c0a5-2892-5f215d84a026.jpg
779,2,2018-11-24T14:19:12.088Z,2018-11-24T14:36:12.088Z,74.0516,54.46583,https://s3.amazonaws.com/bucket/path/6bde8795-a882-2c70-b2ba-505bc8d058ee.jpg
952,5,2018-11-26T14:19:12.088Z,2018-11-26T14:40:12.088Z,-27.30665,97.24434,https://s3.amazonaws.com/bucket/path/6aa204c4-9d4f-b832-3991-2c9a644b9ac3.jpg
591,7,2018-11-26T14:19:12.088Z,2018-11-26T14:37:12.088Z,-18.75054,163.25034,https://s3.amazonaws.com/bucket/path/4ff8dd1a-2d9c-caa0-d492-cd250743111f.jpg
48,7,2018-11-26T14:19:12.088Z,2018-11-26T14:22:12.088Z,-30.58255,3.44449,https://s3.amazonaws.com/bucket/path/f7c3e0b7-e9eb-2d8d-805f-46b224e96670.jpg
48,8,2018-11-23T14:19:12.088Z,2018-11-23T14:48:12.088Z,-70.839,-22.69184,https://s3.amazonaws.com/bucket/path/9ea3cfcc-356e-7f79-d9a4-9c26882dec94.jpg
706,5,2018-11-30T14:19:12.088Z,2018-11-30T14:38:12.088Z,-40.3647,156.51421,https://s3.amazonaws.com/bucket/path/b2206c4f-75f3-b264-9600-caec1d3d665b.jpg
432,6,2018-11-26T14:19:12.088Z,2018-11-26T14:28:12.088Z,68.09961,-134.66801,https://s3.amazonaws.com/bucket/path/92034a9b-6a05-0fe6-f793-a290993da316.jpg
234,1,2018-11-30T14:19:12.088Z,2018-11-30T14:24:12.088Z,-87.78368,75.81463,https://s3.amazonaws.com/bucket/path/d47f0fa7-5a3e-0f23-fc7c-41f38016bd9b.jpg
639,4,2018-11-26T14:19:12.088Z,2018-11-26T14:46:12.088Z,34.53561,-137.86408,https://s3.amazonaws.com/bucket/path/910514ba-ea37-73bd-dc5e-53383ea7ae32.jpg
883,2,2018-11-27T14:19:12.088Z,2018-11-27T14:43:12.088Z,-14.03278,-75.86575,https://s3.amazonaws.com/bucket/path/b326ad54-3287-be89-6695-c3f936de50d6.jpg
410,2,2018-11-28T14:19:12.088Z,2018-11-28T14:43:12.088Z,27.49671,-56.63729,https://s3.amazonaws.com/bucket/path/a5ebf94b-6849-b62d-9d9d-5100b266db45.jpg
573,1,2018-11-24T14:19:12.088Z,2018-11-24T14:44:12.088Z,-76.02871,-171.08771,https://s3.amazonaws.com/bucket/path/dd45ce4d-685b-a905-f985-78090326ac47.jpg
478,6,2018-11-26T14:19:12.088Z,2018-11-26T14:46:12.088Z,-24.73461,135.75266,https://s3.amazonaws.com/bucket/path/7a7d21de-bc93-041c-c13e-fc5c8bec88fd.jpg
993,3,2018-11-30T14:19:12.089Z,2018-11-30T14:33:12.089Z,-25.87563,149.57121,https://s3.amazonaws.com/bucket/path/5b118bf6-aab1-2fa9-0255-bd806897ad2f.jpg
668,1,2018-11-26T14:19:12.089Z,2018-11-26T14:36:12.089Z,-76.08812,-170.92381,https://s3.amazonaws.com/bucket/path/873a0676-ab70-5307-6058-c0d439e941bd.jpg
620,3,2018-11-30T14:19:12.089Z,2018-11-30T14:27:12.089Z,56.37034,31.73116,https://s3.amazonaws.com/bucket/path/28f06ab1-3879-86ea-9402-52c480ce71e0.jpg
965,6,2018-11-26T14:19:12.089Z,2018-11-26T14:37:12.089Z,-36.93037,169.56871,https://s3.amazonaws.com/bucket/path/a5129c31-a29b-2dbc-9913-cbb709b0e9b2.jpg
428,7,2018-11-26T14:19:12.089Z,2018-11-26T14:48:12.089Z,-81.60604,-7.07298,https://s3.amazonaws.com/bucket/path/fdc2966f-30b8-a37a-6dac-7f079ccac54f.jpg
665,4,2018-11-22T14:19:12.089Z,2018-11-22T14:37:12.089Z,55.66653,12.58471,https://s3.amazonaws.com/bucket/path/c4e92148-f255-d011-429d-6cf26621fcc0.jpg
85,4,2018-11-28T14:19:12.089Z,2018-11-28T14:41:12.089Z,36.51126,111.32631,https://s3.amazonaws.com/bucket/path/5abccddc-5806-bada-8b82-63d61f972605.jpg
172,0,2018-11-24T14:19:12.089Z,2018-11-24T14:25:12.089Z,87.51871,75.41346,https://s3.amazonaws.com/bucket/path/638ed9b7-ce8f-a3f6-6e23-00abaa1c1e63.jpg
484,0,2018-11-27T14:19:12.089Z,2018-11-27T14:32:12.089Z,-16.32017,125.46201,https://s3.amazonaws.com/bucket/path/b189f26d-d60f-5f07-46e8-1a83869e6ff1.jpg
476,4,2018-11-25T14:19:12.089Z,2018-11-25T14:31:12.089Z,31.9588,67.84658,https://s3.amazonaws.com/bucket/path/aac12514-9c6d-082b-2f78-ea71ee0634e3.jpg
768,5,2018-11-30T14:19:12.089Z,2018-11-30T14:47:12.089Z,-20.61298,154.37249,https://s3.amazonaws.com/bucket/path/22d643f3-fc74-c8e9-8396-a146549cc24b.jpg
590,5,2018-11-30T14:19:12.089Z,2018-11-30T14:24:12.089Z,7.3122,112.69007,https://s3.amazonaws.com/bucket/path/c9c2f596-94e0-c197-1be6-9371520858b5.jpg
622,0,2018-11-30T14:19:12.089Z,2018-11-30T14:44:12.089Z,39.08163,84.39663,https://s3.amazonaws.com/bucket/path/abceff34-6404-f4d4-28ff-feaa217acaee.jpg
